,,#,#,,,,#,#,#,,,,,,,,,,,#,,,,,,,,,,,,,,,,,#,#,,,,#,#,,,
#,"아이템 ID

카테고리(1)+종족(0)+서브타입(0)+등급(0)+타입(0)+인덱싱(000)","종족
(인덱싱용)","동일타입&
동일서브&
동일종족&
동일등급
내 순서
(인덱싱용)","인벤 탭 구분
카테고리
1 = 장비",부위별 구분,"1 = 일반
2 = 스피릿",부위별 구분 입력,"아이템 이름 (한글)
기획 참고용","아이템 이름
텍스트 Key","장착 종족
0 = 공용
그 외 = 종족 id",장비 등급,"무게

1무게=100

#무게관련
시트 참조","거래소 색인용
아이템 그룹 설정","거래소 색인용
아이템 그룹 설정

id, 종족, 성별,
부위, 등급, 이름
등으로
색인할 수 있도록 함","장비강화 +n강
최대값

이 값이 0이면
+n강 할 수 없음","판매 가능 여부

0 = 판매 불가
1 = 판매 가능","판매 가격
(라임)","각인(귀속) 아이템 타입
설정 값을 작성하는 칼럼

0 = 각인(귀속) 아이템 아님
1 = 획득 시 각인(귀속)
2 = 착용 시 각인(귀속)","장비 그래픽 리소스 이름

리소스 이름 규칙으로
성별구분 함","아이콘 배경 이미지
bg 리소스 이름 작성","드랍 오브젝트 아이콘
이름 작성","드랍 오브젝트 프리펩
이름 작성","서브 옵션 그룹 id 1
옵션 그룹 데이터 참조","서브 옵션 그룹 id 2
옵션 그룹 데이터 참조","서브 옵션 그룹 id 3
옵션 그룹 데이터 참조","서브 옵션 그룹 id 4
옵션 그룹 데이터 참조","서브 옵션 그룹 id 5
옵션 그룹 데이터 참조","서브 옵션 그룹 id 6
옵션 그룹 데이터 참조","세트 효과 적용
({0}을 제외한 동일한 Number = 링크)
setgroup_id 작성
세트옵션 그룹데이터 참조","서브 옵션 갱신 시
발생하는 기본비용
(캐쉬재화 only)","장비강화 상태별
스탯 변동 그룹 정의","장비 획득 시
채팅창 알림 여부
0 = 안함
1 = 알림","장비 해체 시 획득물 그룹 id
( reward_group_contents 참조 )","장비 감정 시
슬롯의 개수를 결정하는
그룹
(item_equip_identify_slot 참조)","장비 감정 시
슬롯의 개수만큼
효과를 결정하는 그룹
(item_equip_identify_option 참조)",보석 슬롯 수 및 장착할 수 있는 보석 슬롯 계열을 지정,"그룹별
삭제 가능 여부","직접 입력
삭제 가능 여부","공용창고
보관 여부
0 = 불가능
1 = 가능","아이템 삭제
가능 여부","연성가능여부
0=불가
1=가능",기존 장비 ID,기존 장비 이름,,,
,id,index,index,item_category,type,sub_type,sub_type,name_kor,name,job,grade,weight,Item_Group,Item_Group_Sub,enchant_max,sell_type,sell_price,sealed_type,resource,bg_resource,drop_resource_icon,drop_resource_prefab,option_group_id_1,option_group_id_2,option_group_id_3,option_group_id_4,option_group_id_5,option_group_id_6,setgroup_id,randoption_cost,enchant_stat_group,Message_Notification,disassemble_contents_gid,identify_slot_group,identify_ability_group,jewel_slot_group,,,warehouse_use,item_delete,fusion,,,,,
[type],Int,not-used,수식적용,Int,int,int,드롭다운,string,not-used,Int,Int,int,int,int,int,int,Int,int,string,not-used,string,string,Int,Int,Int,Int,Int,Int,Int,Int,int,int,int,int,int,int,,,int,int,bool,,,,,
,11110000,1,0,1,0,1,주무기,불칸맨몸_주 무기,Item_Name_11110000,10101001,1,0,0,1,0,0,0,0,main_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,11111000,1,0,1,1,1,보조무기,불칸맨몸_보조무기,Item_Name_11111000,10101001,1,0,0,1,0,0,0,0,sub_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,11112000,1,0,1,2,1,머리,불칸맨몸_머리,Item_Name_11112000,10101001,1,0,0,1,0,0,0,0,head_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,11113000,1,0,1,3,1,상의,불칸맨몸_상의,Item_Name_11113000,10101001,1,0,0,1,0,0,0,0,upper_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,11114000,1,0,1,4,1,보조방어구,불칸맨몸_보조,Item_Name_11114000,10101001,1,0,0,1,0,0,0,0,sub_armor_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,11115000,1,0,1,5,1,하의,불칸맨몸_하의,Item_Name_11115000,10101001,1,0,0,1,0,0,0,0,lower_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,11116000,1,0,1,6,1,신발,불칸맨몸_신발,Item_Name_11116000,10101001,1,0,0,1,0,0,0,0,boots_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,12110000,2,0,1,0,1,주무기,휴먼맨몸_주 무기,Item_Name_12110000,10102001,1,0,0,2,0,0,0,0,main_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,12111000,2,0,1,1,1,보조무기,휴먼맨몸_보조무기,Item_Name_12111000,10102001,1,0,0,2,0,0,0,0,sub_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,12112000,2,0,1,2,1,머리,휴먼맨몸_머리,Item_Name_12112000,10102001,1,0,0,2,0,0,0,0,head_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,12113000,2,0,1,3,1,상의,휴먼맨몸_상의,Item_Name_12113000,10102001,1,0,0,2,0,0,0,0,upper_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,12114000,2,0,1,4,1,보조방어구,휴먼맨몸_보조,Item_Name_12114000,10102001,1,0,0,2,0,0,0,0,sub_armor_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,12115000,2,0,1,5,1,하의,휴먼맨몸_하의,Item_Name_12115000,10102001,1,0,0,2,0,0,0,0,lower_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,12116000,2,0,1,6,1,신발,휴먼맨몸_신발,Item_Name_12116000,10102001,1,0,0,2,0,0,0,0,boots_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,13110000,3,0,1,0,1,주무기,카이립톤맨몸_주 무기,Item_Name_13110000,10103001,1,0,0,3,0,0,0,0,main_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,13111000,3,0,1,1,1,보조무기,카이립톤맨몸_보조무기,Item_Name_13111000,10103001,1,0,0,3,0,0,0,0,sub_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,13112000,3,0,1,2,1,머리,카이립톤맨몸_머리,Item_Name_13112000,10103001,1,0,0,3,0,0,0,0,head_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,13113000,3,0,1,3,1,상의,카이립톤맨몸_상의,Item_Name_13113000,10103001,1,0,0,3,0,0,0,0,upper_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,13114000,3,0,1,4,1,보조방어구,카이립톤맨몸_보조,Item_Name_13114000,10103001,1,0,0,3,0,0,0,0,sub_armor_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
