,,#,#,#,#,#,,,,,,#,#,#,#, ,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,,,#,#,,#,#,#,#,#
#,"아이템 ID

고유번호 1자리
+ 타입번호 2자리+귀속/비귀속 구분(1/0) 1자리
+ 타입내 순서 4자리","타입 내
순서",,다른 테이블 참고 키값,,다른 테이블 참고 키값,"인벤토리 탭 구분
1 = 장비
2 = 인벤토리 사용 가능
(물약/스크롤/상자 등)

3 = 인벤토리 사용 불가
(제작재료 등)","아이템
종류","동일타입
내 구분","아이템 등급
1 = 일반
2 = 고급
3 = 희귀
4 = 영웅
5 = 전설
6 = 신화
99 = 스피릿","무게

1무게=100

#무게관련
시트 참조","종족
구분

불칸","종족
구분

휴먼","종족
구분

카이","종족
구분

에이","사용 가능
캐릭터 최소 레벨

0 = 레벨 무관","사용 가능
캐릭터 최대 레벨

0 = 레벨 무관","아이템 타입에 따른
참조 id 작성

(칼럼명세의
아이템 타입 표 참조)","작성된 참조 id의
적용 값 타입 작성

(칼럼명세의 
아이템 타입 표 참조)

1 = 수치(value)
2 = 만분율(r10000)","작성된 참조 id의
적용 값 작성

(칼럼명세의
아이템 타입 표 참조)","아이템 쿨타임
(밀리세컨드 사용)

0 = 쿨타임 없음","각인(귀속) 아이템 타입
설정 값을 작성하는 칼럼

0 = 각인(귀속) 아이템 아님
1 = 획득 시 각인(귀속)",안씀,안씀,"판매 가능 여부

0 = 판매 불가
1 = 판매 가능","판매
가격","거래소 등록
가능 여부

0 = 등록 불가
1 = 등록 가능","거래소 등록 시
기본 거래 가격의 유형

재화 타입 값으로 작성
(안씀)","거래소 등록 시
기본 거래 가격
(안씀)","거래소 카테고리에
사용될 그룹 id","거래소 카테고리에
사용될 서브 그룹 id","획득 시 공지 및
채팅창 출력 유무

0 = 출력 안함
1 = 출력 함",그래픽 리소스 이름,드랍 오브젝트 아이콘 이름,드랍 오브젝트 프리펩 이름,"종족 전용
수치값
(자동계산)","인벤토리 정렬 시
아이템 타입별 정렬 순서",아이템 명,"아이템 이름
기획 참고용",아이템 설명,"아이템 설명
기획 참고용","그룹별
삭제 가능 여부","공용창고
보관 여부
0 = 불가능
1 = 가능","아이템 삭제
가능 여부

0 = 불가능
1 = 가능",,,,,,,,
,id,,name,,item_desc,,item_category,type,sub_type,grade,weight,1,2,4,8,limit_lv_min,limit_lv_max,type_compare_id,compare_value_type,compare_value,cooltime,sealed_type,mount,max_mount,sell_type,sell_price,trade_registration,trade_registration_type,trade_registration_price,item_group,item_group_sub,message_notification,resource,drop_resource_icon,drop_resource_prefab,char_usage,inventory_order,name,,item_desc,,,warehouse_use,item_delete,,,,,,,,
[type],int,,string,참고,string,참고,int,int,int,int,int,선택,선택,선택,선택,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,int,int,string,참고,string,참고,,int,int,,,,종류,판매,거래소 이용,창고 보관,삭제
,23015001,001,Item_Name_23015001,소형 체력 회복약 (귀속),Item_Desc_23015001,캐릭터 체력 [n1]만큼 즉시 회복,2,30,1,1,100,O,O,O,O,0,0,1914,1,50,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_hp_001,drop_item_potion,drop_item_potion,15,1201,Item_Name_23015001,소형 체력 회복약,Item_Desc_23015001,체력을 즉시 회복시켜 줍니다.<br><br>체력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015002,002,Item_Name_23015002,중형 체력 회복약 (귀속),Item_Desc_23015002,캐릭터 체력 [n1]만큼 즉시 회복,2,30,1,1,100,O,O,O,O,0,0,1914,1,85,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_hp_002,drop_item_potion,drop_item_potion,15,1201,Item_Name_23015002,중형 체력 회복약,Item_Desc_23015002,체력을 즉시 회복시켜 줍니다.<br><br>체력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015003,003,Item_Name_23015003,대형 체력 회복약 (귀속),Item_Desc_23015003,캐릭터 체력 [n1]만큼 즉시 회복,2,30,1,1,100,O,O,O,O,0,0,1914,1,150,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_hp_003,drop_item_potion,drop_item_potion,15,1201,Item_Name_23015003,대형 체력 회복약,Item_Desc_23015003,체력을 즉시 회복시켜 줍니다.<br><br>체력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015004,004,Item_Name_23015004,소형 스태미너 회복약 (귀속),Item_Desc_23015004,케릭터 스태미너 [n1]만큼 즉시 회복,2,30,2,1,100,O,X,X,X,0,0,1915,1,35,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_stamina_001,drop_item_potion,drop_item_potion,1,1201,Item_Name_23015004,소형 스태미너 회복약,Item_Desc_23015004,스태미너를 즉시 회복시켜 줍니다.<br><br>(불칸 전용)<br><br>스태미너 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015005,005,Item_Name_23015005,중형 스태미너 회복약 (귀속),Item_Desc_23015005,케릭터 스태미너 [n1]만큼 즉시 회복,2,30,2,1,100,O,X,X,X,0,0,1915,1,65,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_stamina_002,drop_item_potion,drop_item_potion,1,1201,Item_Name_23015005,중형 스태미너 회복약,Item_Desc_23015005,스태미너를 즉시 회복시켜 줍니다.<br><br>(불칸 전용)<br><br>스태미너 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015006,006,Item_Name_23015006,대형 스태미너 회복약 (귀속),Item_Desc_23015006,케릭터 스태미너 [n1]만큼 즉시 회복,2,30,2,1,100,O,X,X,X,0,0,1915,1,120,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_stamina_003,drop_item_potion,drop_item_potion,1,1201,Item_Name_23015006,대형 스태미너 회복약,Item_Desc_23015006,스태미너를 즉시 회복시켜 줍니다.<br><br>(불칸 전용)<br><br>스태미너 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015007,007,Item_Name_23015007,소형 전기력 회복약 (귀속),Item_Desc_23015007,케릭터 전기력 [n1]만큼 즉시 회복,2,30,2,1,100,X,O,X,X,0,0,1916,1,35,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_electirc_001,drop_item_potion,drop_item_potion,2,1201,Item_Name_23015007,소형 전기력 회복약,Item_Desc_23015007,전기력을 즉시 회복시켜 줍니다.<br><br>(휴먼 전용)<br><br>전기력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
